"Hospital name","Phone number","Street address","Suburb","Postcode","State","Local Hospital Network (LHN)","Primary Health Network area (PHN)","Website","Description","Sector","Beds","Latitude","Longitude"
"Inverell Hospital","02 6721 9500","41 Swanbrook Road","Inverell","2360","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","<50","-29.770727999999998","151.13013900000001"
"Ipswich Day Hospital","07 3282 8800","10 Churchill Street","Ipswich","4305","Qld","","","http://www.curagroup.com.au/ipswich-day-hospital","","Private","<50","-27.618400000000001","152.76079999999999"
"Ipswich Hospital","07 3810 1111","Chelmsford Avenue","Ipswich","4305","Qld","West Moreton","Darling Downs and West Moreton","www.health.qld.gov.au/services/westmoreton/ipswich-hosp.asp","Large metropolitan hospital with an emergency department","Public","200-500","-27.619465000000002","152.75931299999999"
"Ivanhoe Hospital","02 6990 2200","11 Columbus Street","Ivanhoe","2878","NSW","Far West","Western NSW","","Regional hospital with an emergency department","Public","<50","-32.898192999999999","144.29890399999999"
"Jamestown Hospital and Health Service","08 8664 1406","South Terrace","Jamestown","5491","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/jamestownhospital","Small hospital","Public","<50","-33.212265000000002","138.61624900000001"
"Jandowae Hospital","07 4668 4555","13 Dalby Street","Jandowae","4410","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-jandowae-hs.asp","Regional hospital","Public","<50","-26.781016000000001","151.105313"
"Jerilderie Multi Purpose Service","03 5886 1300","33-39 Southey Street","Jerilderie","2716","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-35.356628000000001","145.720596"
"Jessie McPherson Private Hospital","03 9594 2776","246 Clayton Road","Clayton","3168","Vic","","","http://jessiemcpherson.org","","Private","100-199","-37.920099999999998","145.1225"
"John Fawkner Private Hospital","03 9385 2500","275 Moreland Road","Coburg","3058","Vic","","","www.johnfawknerprivatehospital.com.au","","Private","100-199","-37.754368999999997","144.95839799999999"
"John Flynn Private Hospital","07 5598 9000","42 Inland Drive","Tugun","4224","Qld","","","www.johnflynnprivate.com.au/","","Private","200-500","-28.153911000000001","153.48861600000001"
"John Hunter Hospital","02 4921 3000","Lookout Road","New Lambton","2305","NSW","Hunter New England","Hunter New England and Central Coast","","Major hospital with an emergency department","Public",">500","-32.922176999999998","151.69243800000001"
"Jolimont Endoscopy","03 9654 8033","19/201 Wellington Parade Sth","East Melbourne","3002","Vic","","","www.jolimont.com.au","","Private","<50","-37.816761999999997","144.97859600000001"
"Joondalup Health Campus (Private)","08 9400 9400","Corner of Grand Boulevard and Shenton Avenue","Joondalup","6027","WA","","","http://joondalupprivate.com.au","","Private","200-500","-31.738788","115.77034"
"Joondalup Health Campus (Public)","08 9400 9030","Shenton Avenue","Joondalup","6027","WA","North Metropolitan Health Service (WA)","Perth North","www.joondaluphealthcampus.com.au","Large metropolitan hospital with an emergency department","Public","200-500","-31.738788","115.771737"
"Joyce Palmer Health Service","07 4752 5100","Beach Road","Palm Island","4816","Qld","Townsville","Northern Queensland","www.health.qld.gov.au/services/townsville/tville_jpalm_hs.asp","Regional hospital","Public","<50","-18.732733","146.578731"
"Julia Creek Hospital","07 4746 4000","1 Burke Street","Julia Creek","4823","Qld","North West (Qld)","Western Queensland","https://www.health.qld.gov.au/services/northwest/nwes_jcreek_hosp","Regional hospital","Public","<50","-20.656096000000002","141.749875"
"Junee Multi Purpose Service","02 6924 8200","67 Broadway Street","Junee","2663","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-34.866914000000001","147.58131399999999"
"Justice Health Services","02 9700 3000","1300 Anzac Parade","Malabar","2036","NSW","Justice Health & Forensic Mental Health","Central and Eastern Sydney","www.justicehealth.nsw.gov.au/","Specialist psychiatric hospital","Public","200-500","-33.969070000000002","151.24320599999999"
"Kahlyn Day Centre","08 8331 0811","40 Briant Road","Magill","5072","SA","","","www.kahlyndaycentre.com.au/","","Private","<50","-34.916913000000001","138.669951"
"Kalamunda Hospital","08 9257 8100","Elizabeth Street","Kalamunda","6076","WA","East Metropolitan Health Service (WA)","Perth North","","Metropolitan hospital","Public","<50","-31.966470999999999","116.060267"
"Kalbarri Health Centre","08 9937 0100","Kaiber Street","Kalbarri","6536","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=227","Regional hospital","Public","<50","-27.712842999999999","114.161574"
"Kalgoorlie Hospital","08 9080 5888","Piccadilly Street","Kalgoorlie","6430","WA","WA Country Health Service","Country WA","","Medium regional hospital with an emergency department","Public","100-199","-30.740839000000001","121.470122"
"Kangaroo Island Health Service","08 8553 4200","3 to 7 The Esplanade","Kingscote","5223","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/KangarooIslandHospital","Small hospital","Public","<50","-35.652692999999999","137.641289"
"Kapunda Hospital","08 8566 2007","26 Nash Street","Kapunda","5373","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/Kapundahospital","Small hospital","Public","<50","-34.330289","138.92167900000001"
"Kareena Private Hospital","02 9717 0000","86 Kareena Road","Caringbah","2229","NSW","","","www.kareenaprivate.com.au","","Private","100-199","-34.034986000000004","151.11418599999999"
"Karitane Mothercraft Society","02 9794 2300","Corner of The Horsley Drive and Mitchell Street","Carramar","2163","NSW","South Western Sydney","South Western Sydney","www.karitane.com.au/","Early parenting centre","Public","<50","-33.879776999999997","150.96576300000001"
"Karoonda and District Soldiers' Memorial Hospital","08 8579 1111","13 Stokes Road","Karoonda","5307","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/karoondahospital","Regional hospital","Public","<50","-35.094225999999999","139.88942900000001"
"Karratha Health Campus","08 9144 7777","62 Balmoral Road, Pegs Creek","Karratha","6714","WA","WA Country Health Service","Country WA","http://www.wacountry.health.wa.gov.au/index.php?id=929","Small hospital with an emergency department","Public","","-20.732208","116.839511"
"Katanning Hospital","08 9821 6222","Clive Street","Katanning","6317","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=88","Small hospital","Public","<50","-33.683031999999997","117.56340899999999"
"Katherine Hospital","08 8973 9211","Gorge Road","Katherine","0850","NT","Top End (NT)","Northern Territory","https://nt.gov.au/wellbeing/hospitals-health-services/katherine-hospital","Small hospital with an emergency department","Public","50-99","-14.439002","132.27212900000001"
"Kawana Private Hospital","07 5413 9100","14/5 Innovation Parkway","Birtinya","4575","Qld","","","http://www.curagroup.com.au/kawana-private-hospital","","Private","<50","-26.733825","153.122164"
"Kellerberrin Memorial Hospital","08 9045 6222","51-63 Gregory Street","Kellerberrin","6410","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=89","Regional hospital","Public","<50","-31.628902","117.716531"
"Kempsey Hospital","02 6562 6155","119 River Street","Kempsey","2440","NSW","Mid North Coast","North Coast","","Medium regional hospital with an emergency department","Public","50-99","-31.067841000000001","152.82003800000001"
"Kenmore Hospital","02 4827 3303","Taralga Road","Kenmore","2580","NSW","Southern NSW","South Eastern NSW","","Specialist psychiatric hospital","Public","<50","-34.721252999999997","149.75134399999999"
"Kerang District Health","03 5450 9200","13 Burgoyne Street","Kerang","3579","Vic","Kerang District Health","Murray","","Small hospital","Public","<50","-35.724286999999997","143.916563"
"Kiama Hospital","02 4233 1033","Bonaira Street","Kiama","2533","NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/Kiama_Hospital/default.asp","Regional hospital","Public","<50","-34.682937000000003","150.850514"
"Kilcoy Hospital","07 5422 4411","19 Brown Street","Kilcoy","4515","Qld","Metro North (Qld)","Brisbane North","www.health.qld.gov.au/services/metronorth/metronorth_kilcoy_hosp.asp","Regional hospital","Public","<50","-26.941009000000001","152.56149500000001"
"Kimba District Hospital and Aged Care","08 8627 2400","15 Martin Terrace","Kimba","5641","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/kimbahospital","Regional hospital","Public","<50","-33.143552","136.41601299999999"
"King Edward Memorial Hospital for Women","08 9340 2222","374 Bagot Road","Subiaco","6008","WA","North Metropolitan Health Service (WA)","Perth North","www.kemh.health.wa.gov.au","Specialist women's hospital with an emergency department","Public","200-500","-31.950092999999999","115.81857599999999"
"King Island Multi Purpose Centre","03 6462 9900","Edward Street","Currie","7256","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/king_island_district_hospital_and_health_centre","Regional hospital","Public","<50","-39.931673000000004","143.85545300000001"
"Kingaroy Hospital","07 4162 9200","166 Youngman Street","Kingaroy","4610","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-kingaroy-hs.asp","Small hospital","Public","<50","-26.532454000000001","151.83830699999999"
"Kingston Centre [Cheltenham]","03 9265 1000","400 Warrigal Road","Cheltenham","3192","Vic","Monash Health","South Eastern Melbourne","http://www.monashhealth.org/page/Kingston_Centre","Specialist rehabilitation hospital","Public","100-199","-37.955018000000003","145.078969"
"Kingston Soldiers' Memorial Hospital","08 8767 0222","Corner of Cooke and Young Streets","Kingston SE","5275","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/kingstonhospital","Regional hospital","Public","<50","-36.835501000000001","139.84876299999999"
"Kingsway Day Surgery","02 9717 0700","Level 1, 533 Kingsway","Miranda","2228","NSW","","","http://www.kingswaydaysurgery.com.au/","","Private","<50","-34.034095999999998","151.103827"
"Kirwan Rehabilitation Unit","07 4799 9800","138 Thuringowa Drive","Kirwan","4817","Qld","Townsville","Northern Queensland","","Specialist psychiatric hospital","Public","<50","-19.303795999999998","146.731627"
"Knox Private Hospital","03 9210 7000","262 Mountain Highway","Wantirna","3152","Vic","","","www.knoxprivatehospital.com.au","","Private","200-500","-37.849645000000002","145.22803500000001"
"Kojonup Hospital","08 9831 2222","Spring Street","Kojonup","6395","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=93","Regional hospital","Public","<50","-33.829481000000001","117.15290299999999"
"Kondinin Districts Health Service","08 9889 1000","130 Graham Street","Kondinin","6367","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=94","Regional hospital","Public","<50","-32.488948999999998","118.265439"
"Kooweerup Regional Health Service","03 5997 9679","215 Rossiter Road","Koo Wee Rup","3981","Vic","Kooweerup Regional Health Service","South Eastern Melbourne","www.kooweeruphospital.net.au","Regional hospital","Public","<50","-38.200653000000003","145.484433"
"Kununoppin Health Service","08 9683 2044","Leake Street","Kununoppin","6489","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=98","Regional hospital","Public","<50","-31.109681999999999","117.922889"
"Kununurra Hospital","08 9166 4222","96 Coolibah Drive","Kununurra","6743","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=100","Small hospital","Public","<50","-15.775404","128.734229"
"Kurri Kurri Hospital","02 4936 3200","432 Lang Street","Kurri Kurri","2327","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","50-99","-32.825017000000003","151.46301800000001"
"Kyabram & District Health Service","03 5857 0200","88 Fenaughty Street","Kyabram","3620","Vic","Kyabram and District Health Service","Murray","www.kyhealth.org.au","Small hospital","Public","<50","-36.315539000000001","145.04270500000001"
"Kyneton District Health Service","03 5422 9900","7-25 Caroline Chisholm Drive","Kyneton","3444","Vic","Kyneton District Health Service","Murray","www.kynetonhealth.org.au","Small hospital","Public","<50","-37.254430999999997","144.469742"
"Kyogle Multi Purpose Service","02 6632 1522","199 Summerland Way","Kyogle","2474","NSW","Northern NSW","North Coast","","Regional hospital with an emergency department","Public","<50","-28.627123999999998","153.00174200000001"
"La Trobe Private Hospital","03 9473 8900","Corner Kingsbury Drive & Plenty Road","Bundoora","3083","Vic","","","www.latrobeprivatehospital.com.au","","Private","<50","-37.716678999999999","145.04433399999999"
"Lachlan Health Service - Forbes","02 6850 7100","Lot 1 Elgin Street","Forbes","2871","NSW","Western NSW","Western NSW","","Small hospital with an emergency department","Public","<50","-33.396281000000002","148.01383100000001"
"Lachlan Health Service - Parkes","02 6861 2400","2 Morrissey Way","Parkes","2870","NSW","Western NSW","Western NSW","","Small hospital with an emergency department","Public","<50","-33.151507000000002","148.169757"
"Lady Davidson Private Hospital","02 9488 0111","Bobbin Head Road","North Turramurra","2074","NSW","","","www.ladydavidsonprivatehospital.com.au","","Private","100-199","-33.726717999999998","151.13911899999999"
"Laidley Hospital","07 5466 8100","75 William Street","Laidley","4341","Qld","West Moreton","Darling Downs and West Moreton","www.health.qld.gov.au/services/westmoreton/laidley-hs.asp","Regional hospital","Public","<50","-27.632725000000001","152.400015"
